Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,"Prime Minister Narendra Modi could have prevented India's devastating Covid-19 crisis, critics say. He didn't… https://t.co/lQGOtvNoaW",2021-05-01 13:28:46,1388485550416416768,gurdipsahota,"Place(_api=<tweepy.api.API object at 0x7f02e2198610>, id='09efd2065c8ce28e', url='https://api.twitter.com/1.1/geo/id/09efd2065c8ce28e.json', place_type='city', name='Surrey', full_name='Surrey, British Columbia', country_code='CA', country='Canada', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f02e2198610>, type='Polygon', coordinates=[[[-122.958937, 49.001921], [-122.678035, 49.001921], [-122.678035, 49.221117], [-122.958937, 49.221117]]]), attributes={})","Surrey, BC, Canada",True,0,0,en,Twitter for Android
,"RT @CMOGuj: CM Shri @vijayrupanibjp e-inaugurated a 100-bed Covid Care Centre with oxygen &amp; other essential facilties, an @Essar initiative…",2021-05-01 13:28:46,1388485549267185665,Chimanb98818484,,,False,21,0,en,Twitter for iPhone
,"RT @ImranKhanPTI: Today, I May, we pay tribute to all our industrial, agri &amp; informal economy workers, incl those working overseas. My govt…",2021-05-01 13:28:46,1388485547547521030,Riz_zey,,"Sharjah, United Arab Emirates",False,1210,0,en,Twitter for iPhone
,"RT @JakeCordell: Russia recorded another 38,000 excess deaths in March 2021, official figures published yesterday show.

Russia's total exc…",2021-05-01 13:28:45,1388485546998042630,CrabbedSun10,,"Melbourne, Victoria",False,18,0,en,Twitter for Android
,"RT @daynaviewpoint: MN Republicans said they wanted schools to reopen, but now they r cutting hundreds of teachers. We can easily fund scho…",2021-05-01 13:28:45,1388485546738032640,wildcat96,,"St Paul, MN",False,16,0,en,Twitter for iPhone
,"RT @CathyBessant: My thoughts &amp; heart are with our India-based employees, their families &amp; the community impacted by the pandemic. Supporti…",2021-05-01 13:28:45,1388485546326904835,vivekwaghmare,,"Hyderabad, India",True,3,0,en,Twitter for iPhone
,RT @SUBHAMKUMARSEN1: We all are aware of what all are going through this pandemic and students are suffering they are in tha middle of nowh…,2021-05-01 13:28:45,1388485546217926657,Tushar61644398,,,False,85,0,en,Twitter for Android
,"RT @VikrantAnand832: Guys we need to think more about this pandemic
Honourable prime minister sir and education minister please look at the…",2021-05-01 13:28:45,1388485545328664577,SoumodeepDey10,,,False,21,0,en,Twitter for Android
,RT @brittlestar: I'M TIRED OF THE PANDEMIC https://t.co/sa6HfubAfI,2021-05-01 13:28:45,1388485544657801217,wamdls,,,False,6189,0,en,Twitter Web App
,RT @nshealth: Wishing all of Nova Scotia's physicians a happy Doctors' Day today! The last year has been challenging and we appreciate ever…,2021-05-01 13:28:45,1388485544464855045,CBBayne,,,False,20,0,en,Twitter for iPhone
,"When Nola and Jendayi were girls, they predicted they would be mamas and pregnant at the same time. Unfortunately,… https://t.co/i40B8TyVEe",2021-05-01 13:28:44,1388485541692203008,patiomensch,,"Minneapolis, MN",True,0,0,en,Twitter for iPhone
,"RT @ZoomTV: Check out @Varun_dvn's post on pandemic

https://t.co/BVa42L5nf3",2021-05-01 13:28:44,1388485541633564677,radhe_mass,,,False,14,0,en,Twitter for Android
,The message of recovery is the only lasting and most effective way we can beat this drug pandemic- dealing with it… https://t.co/j2UPJLT6dO,2021-05-01 13:28:44,1388485540778020865,Kin2TheRapper,,"Kampala, Uganda",True,0,0,en,chirr.app
,"In 2015 I went to work in Africa, I got vaccinated for malaria, tuberculosis, diphtheria, polio, yellow fever

In 2… https://t.co/3zk00UltrA",2021-05-01 13:28:44,1388485539469447168,JWeber988,,,False,0,0,en,Twitter for iPhone
,"RT @HunarTweets: PM Modi is not responsible for pandemic. China is. 

You’re getting infected because you were careless. PM Modi is not goi…",2021-05-01 13:28:44,1388485539402338304,PoliticsUnfold,,,False,236,0,en,Twitter Web App
,"RT @washingtonpost: India shattered the record for daily cases in the pandemic, reporting more than 400,000 coronavirus cases on Saturday h…",2021-05-01 13:28:43,1388485537774727169,RajpalShishir,,Dehradun ,False,123,0,en,Twitter for Android
,RT @niasharmafc123: There are only few celebs who are helping needy in this pandemic n our @RubiDilaik Is one of Them. She'll be fine Soon…,2021-05-01 13:28:43,1388485537657356289,AshrithaN1,,"Bengaluru South, India",False,211,0,en,Twitter for Android
,"RT @stanalb: How to indentify Dictatorship, Past law makers responsible for loss of life's and on moral grounds have quit public life, Insp…",2021-05-01 13:28:43,1388485536722001921,erwaseem_,,,False,30,0,en,Twitter for Android
,"RT @ALAforVeterans: Food insecurity is a major issue in our country, and sadly, it has worsened due to the COVID-19 global pandemic. 
Milit…",2021-05-01 13:28:43,1388485536269180929,kdaudistel,,,True,3,0,en,Twitter for Android
,Amiga 👏🏼 and also what admin asks teachers to do. The workload is unreal these days and the hybrid or online teachi… https://t.co/RLXVIUxIbK,2021-05-01 13:28:42,1388485533123420160,TWSteacher,"Place(_api=<tweepy.api.API object at 0x7f02e2198610>, id='e4a0d228eb6be76b', url='https://api.twitter.com/1.1/geo/id/e4a0d228eb6be76b.json', place_type='city', name='Philadelphia', full_name='Philadelphia, PA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f02e2198610>, type='Polygon', coordinates=[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]]), attributes={})",Unceded Lenni-Lenape land ,True,0,0,en,Twitter for iPhone
,"RT @BostonJerry: Again, pandemic unemployment is $1200/month, which is $7.50/hour or $14,400/year.

If employers can't hire staff because t…",2021-05-01 13:28:42,1388485532674572289,aceofspades42,,"Pennsylvania, USA",True,21457,0,en,Twitter for Android
,@smerconish The focus of the world for the last year and a half has been the COVID Pandemic.  But a far more danger… https://t.co/xzLJ2ilTuS,2021-05-01 13:28:42,1388485532603322370,bdengler54,,,False,0,0,en,Twitter for iPad
,"RT @Arooshi93104704: 🚨 IMPORTANT🚨
All state board Students whose exams are being conducted In this serious covid pandemic write a tweet exp…",2021-05-01 13:28:42,1388485531739115520,ZSharma2,,,False,2,0,en,Twitter for Android
,"RT @MedicalAidPal: Interview: How Lebanon’s economic collapse is compounding pandemic woes for Palestinian refugees
https://t.co/Koar8IClXq",2021-05-01 13:28:42,1388485530883661824,johnAda65823822,,,False,3,0,en,Twitter Web App
,"RT @sputnikvaccine: First batch of #SputnikV vaccine arrives in Hyderabad, India! That's the same day the country starts mass COVID vaccina…",2021-05-01 13:28:42,1388485530858389506,ravin1sky,,Gujarat,True,944,0,en,Twitter for Android
,"RT @CromwellStuff: We went into lockdown in December, because ""The deadly pandemic was killing us all""! India the covid is killing everyone…",2021-05-01 13:28:41,1388485530447486984,lambo555,,"Rotherham, England",True,141,0,en,Twitter Web App
