Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,@DBeattie85 @Zubhaque We’re in a pandemic or have you forgotten about that!,2021-05-01 06:52:13,1388385753370087425,pro__lockdown,,"Bristol, England",False,0,0,en,Twitter for iPhone
,@vikramchandra @Suhelseth @PMOIndia it was being done same way and states   started blaming PM for lockdown and eve… https://t.co/U6oI08Fw7T,2021-05-01 06:52:13,1388385752581513220,0birdman,,India,True,0,0,en,Twitter for iPhone
,RT @SYMworlddd: Lockdown has made me sooooo antisocial and such a home body it’s crazy,2021-05-01 06:52:12,1388385751633596416,Meeeeoooowwww_,,,False,6184,0,en,Twitter for Android
,@ThalapathyBabu5 Lockdown mari therlaya,2021-05-01 06:52:12,1388385750211694602,thiz_satz,,Neptune,False,0,1,en,Twitter for Android
,RT @ayushmanbasu: @prpoi_india @jha_vasudha @jasonthegoo @chaituk07 @chakranuya @ItsKritikalTime @_swatiluthra @midnightaf @YiMumbaiChapter…,2021-05-01 06:52:11,1388385747456036869,prpoi_india,,India,False,1,0,en,Twitter for Android
,US epidemiologist Fauci suggests a few weeks' lockdown in #India to break chain of #coronavirus transmission https://t.co/9HwDa1f3tk,2021-05-01 06:52:10,1388385743395909633,thetribunechd,,Chandigarh,True,5,13,en,Twitter Web App
,@tewitttawoo @JuliaHB1 anyone with a brain gets that Boris was expressing his extreme reluctance to order another l… https://t.co/HCjS1XKBSI,2021-05-01 06:52:08,1388385735166791681,OldandWise28,,,True,0,0,en,Twitter Web App
,RT @gvsa: @Deep_Point_ When you are stuck in lockdown and the trimmer is broken 😜😂 https://t.co/8Pu7rqo3Ti,2021-05-01 06:52:08,1388385734676021249,Kuch_Bhi_Ugly,,Beside Rajesh Kirana,False,1,0,en,Twitter for Android
,"RT @principessaetr1: @sahouraxo Not surprising.
Only last Saturday, 100,000+ people marched peacefully on the streets of London in an anti-…",2021-05-01 06:52:08,1388385732436406276,BoomersShow,,Darwin,False,1,0,en,TweetDeck
,@bengaluruboy48 @KicchaSudeep @Gundkal @ColorsKannada @Banijayasia Next week lso doubt..if lockdown continues next 2 weeks..end of show,2021-05-01 06:52:07,1388385731433811970,Navajeeth,,"Mangalore/Bangalore,Karnataka",False,0,2,en,Twitter for Android
,RT @kbeanie93: Made the mistake of trying to watch Sunetra Gupta on BBC news. This is NOT journalism. She was spoken over. She was interrup…,2021-05-01 06:52:07,1388385731148763136,hovisdog0202,,,True,370,0,en,Twitter for iPhone
,"RT @bestbiafra: BREAKING: ""From 6pm 29th to 6pm 30th May should be a total lockdown in BIAFRALAND, 2021. In respect to more than 5 million…",2021-05-01 06:52:07,1388385730569908225,DorathyOkongwu,,,False,130,0,en,Twitter for Android
,RT @sagarikaghose: VITAL from Dr Fauci to India: 1) Allow military to set up 100s of field hospitals like they do in a war 2) firm up vacci…,2021-05-01 06:52:07,1388385728304861189,pktbobl,,Pune India,False,270,0,en,Twitter for Android
,RT @_JCPhotos: #Fishing in #Cleveleys near #Blackpool on the #Beach in the middle of the #Lockdown in #wintersun  Sun 24th Jan 2021 https:/…,2021-05-01 06:52:05,1388385721082269697,Gsk62218457,,"Kerala, India",True,141,0,en,Twitter for Android
,"RT @mrtdogg_1: India this morning filmed by a resident, no lockdown, no panic, if it was left to the mainstream media, everyone would think…",2021-05-01 06:52:05,1388385721006886913,AbdulAlim74,,,False,389,0,en,Twitter for iPhone
,"RT @FNBSA: This time last year, we were knee-deep into lockdown. It was tough, but 𝙟𝙤𝙣𝙜𝙖 you made it! So we're in the mood to sprinkle some…",2021-05-01 06:52:04,1388385717462736896,MlMatjeke,,,False,736,0,en,Twitter for Android
,"RT @pnagovph: LOOK | A deserted street in Istanbul, Turkey on Friday (April 30, 2021) as a 17-day lockdown from April 29, 7pm, until 5am on…",2021-05-01 06:52:04,1388385715587739651,percival_pepito,,,False,8,0,en,Twitter for Android
,"RT @RajeevMatta: Essential services:
1. Central Vista
2. Ram Mandir
3. Bullet Train
4. Managing Media
5. Power in Bengal 
6. Destabilizing…",2021-05-01 06:52:04,1388385715164106755,INCHubDwdEast,,"Hubli, India",False,848,0,en,Twitter for Android
,RT @sunnymahat: I told you. Aloft in lockdown. https://t.co/2RRkAGxMRe,2021-05-01 06:52:03,1388385714644176898,sunsaribaraha,,सुनसरी ,False,16,0,en,Twitter for Android
,"RT @Harshb_31: Then : Lockdown Smashed India's economy

Now : lockdown India in May

Synonym of Hypocrisy is Sagarika Ghose https://t.co/Wt…",2021-05-01 06:52:02,1388385710248370181,wdfeva,,,True,130,0,en,Twitter for Android
,RT @FitzRoyUk: Read our brand new #blog post now on our website🙌 Lockdown has been detrimental for people with autism. Click the link below…,2021-05-01 06:52:01,1388385703113990149,ajm2311,,"Winchester, England",True,2,0,en,Twitter for iPhone
,"Someone stole my car a few nights ago and now I feel ready to hunker down for another lockdown. Stay home, be safe,… https://t.co/DPigin4NqZ",2021-05-01 06:52:00,1388385701524230148,JC_muso,,,True,0,0,en,Twitter for iPhone
,RT @SmylyThe3rd: Remembering that wonderful period during lockdown when fuel prices dropped to 4.20 😪,2021-05-01 06:52:00,1388385701096529925,raykiss,,,False,25,0,en,Twitter for iPhone
,"RT @gbdeclaration: “The strategy I'm advocating is called focused protection, which means trying to protect those at risk of disease while…",2021-05-01 06:52:00,1388385700425474052,jacsjep5,,"Halifax, West Yorkshire",False,415,0,en,Twitter for Android
,"@thinkofthehuma1 @dandavis101 @BBCNews Agree v.early lockdown, then isolate until vaccine is a strategy that works… https://t.co/XNlKCvoNl0",2021-05-01 06:51:59,1388385693794283530,MarkJohnsonTw,,,False,0,0,en,Twitter for iPhone
,"@Datta_karan @srinivasjain Average man on the street has no respect for social distance, basic sanitisation rules ,… https://t.co/WeBt6bE8Q7",2021-05-01 06:51:57,1388385689432059904,srinicaps,,Subscribe to my substack,False,0,0,en,Twitter for iPhone
