Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:17,1388362115614875648,chem1601,,,False,3508,0,en,Twitter for Android
,"RT @PTI_News: We see reactions like 'corona is a scam, I don't need a mask, there's life beyond'; follow rules as we may be tired but virus…",2021-05-01 05:18:16,1388362112322342913,prasadhemant,,Bharat | Malaysia | Singapore,False,432,0,en,Twitter for iPhone
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:14,1388362102817976321,SDahiua,,,False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:11,1388362091707322374,ShivamT22835403,,,False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:11,1388362090172141568,Gabruuuuuuuuuu,,"Tel Aviv Jaffa, Israel",False,3508,0,en,Twitter for Android
,RT @Satyagarzna: Wishing a very Happy Maharashtra Day to all 12.62 Crore People residing in Maharashtra. We wish you all defeat the corona…,2021-05-01 05:18:11,1388362089849188352,Abhishek13896,,भारत,False,63,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:18:08,1388362076796510210,yours_suvam,,,True,3508,0,en,Twitter for Android
,"If anyone has no fever, no cough, no sneeze, no watery nosy, no headache, so loss of smell and taste, no tiredness.… https://t.co/vpoFjaBIok",2021-05-01 05:18:06,1388362068487671808,Adhiyajna_,,In the solitude of Aranya. ,False,2,1,en,Twitter for Android
,"RT @PTI_News: We see reactions like 'corona is a scam, I don't need a mask, there's life beyond'; follow rules as we may be tired but virus…",2021-05-01 05:18:01,1388362047964938243,SANGEET63803786,,"Sardarshahar, India",False,432,0,en,Twitter for Android
,Today is the day of pride for Maharashtrian as this day reminds us of our resplendent history and culture. Wishing… https://t.co/IZIznbP6t6,2021-05-01 05:17:54,1388362019296870402,AstranovaB,,"Pune, India",False,0,0,en,Twitter for iPhone
,"RT @ArshJudge_SYC: Help her. It's emergency. Please support.
@Khalsa_Aid @khalsaaid_india
@taapsee @mrsfunnybones @amarpreet_ka @KapilSharm…",2021-05-01 05:17:53,1388362016180432897,manu_vashishth,,India,False,48,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:48,1388361992516214786,DkJaiHind,,,False,3508,0,en,Twitter Web App
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:47,1388361989194321924,100_RoopAdarsh,,"Varanasi, India",False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:44,1388361976833658880,PyneArchishman,,"कोलकाता, भारत",False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:43,1388361971519553542,RaviSha08180084,,"Mumbai, India",False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:42,1388361969829257219,Abhishek3592,,"Ahmedabad, India",False,3508,0,en,Twitter for Android
,"RT @ArshJudge_SYC: Help her. It's emergency. Please support.
@Khalsa_Aid @khalsaaid_india
@taapsee @mrsfunnybones @amarpreet_ka @KapilSharm…",2021-05-01 05:17:40,1388361960865992704,Chiku_Bpl,,,False,48,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:39,1388361958118752257,ShriAru07,, भारत माँ की गोद मे❤️,False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:33,1388361931187048448,084samyak,,,False,3508,0,en,Twitter for Android
,"RT @ArshJudge_SYC: Help her. It's emergency. Please support.
@Khalsa_Aid @khalsaaid_india
@taapsee @mrsfunnybones @amarpreet_ka @KapilSharm…",2021-05-01 05:17:31,1388361923071250432,pushpanjali_sin,,chennai,False,48,0,en,Twitter Web App
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:30,1388361917161377792,greenearth4,,,False,3508,0,en,Twitter Web App
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:26,1388361902435147777,w8X6OARlK8vgro9,,"Noida, India",False,3508,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 05:17:25,1388361898161176578,Navalkumar95,,"Pune, India",False,3508,0,en,Twitter for Android
